TreeOrder	Order	Family	Genus	ID	Repeat_BUSCOs	Accession	Tech_coarse	Tech_fine	Assembly_Length	Log10_Length	Contig_N50	Log10_N50	BUSCO_Single	BUSCO_Duplicate	BUSCO_Complete	BUSCO_Complete	BUSCO_Fragmented	BUSCO_Missing	"BUSCO_Sum (Single, Dup, Frag, Missing)"	LINEs_bases	LINEs_proportion	SINEs_bases	SINEs_proportion	LTRs_bases	LTRs_proportion	DNA_trans_bases	DNA_trans_proportion	tandem_repeats_bases	tandem_repeats_proportion	other_repeats_bases	other_repeats_proportion	unclassified_bases	unclassified_proportion	unclassified_prop_reps	all_repeats_bases	all_repeats_proportion	assembly_length	unique_low_repeat_bases	unique_low_repeat_proportion	TE_BUSCOs	empties																																					
1	Diptera	Drosophilidae	Drosophila	425	4	GCA_008042655.1	short	short	175666184	8.24	31415	4.5	95.1	3.9	99	0.99	0.4	0.6	100	10113435	0.0576	27535	0.0002	10486310	0.0597	5870038	0.0334	6128520	0.0349	2896445	0.0165	5441448	0.0309	0.132835752	40963731	0.23319076	175666184	134702453	0.76680924	YES	4																																					
2	Diptera	Drosophilidae	Drosophila	447	13	GCA_008042635.1	short	short	190505469	8.28	28823	4.46	96.2	2.6	98.8	0.988	0.4	0.8	100	10674898	0.0561	2931	0	10139241	0.0532	5784517	0.0303	6088645	0.032	7282199	0.0382	4805792	0.0252	0.107324313	44778223	0.235049541	190505469	145727246	0.764950459	YES	13																																					
3	Diptera	Drosophilidae	Drosophila	440	11	GCA_008044335.1	short	short	187248584	8.27	36923	4.57	96	3	99	0.99	0.4	0.6	100	11725299	0.0626	35172	0.0002	9365297	0.05	4413309	0.0236	6437485	0.0344	3760556	0.0201	4282073	0.0229	0.107000489	40019191	0.213722262	187248584	147229393	0.786277738	YES	11																																					
4	Diptera	Drosophilidae	Drosophila	441	11	GCA_008042555.1	short	short	187578810	8.27	70792	4.85	97.2	2	99.2	0.992	0.4	0.4	100	10956979	0.0584	27758	0.0001	8978830	0.0478	5386615	0.0287	6935935	0.037	4911310	0.0262	4017984	0.0214	0.097487418	41215411	0.219723171	187578810	146363399	0.780276829	YES	11																																					
5	Diptera	Drosophilidae	Drosophila	428	6	GCA_008042675.1	short	short	178856532	8.25	83310	4.92	97.3	1.7	99	0.99	0.1	0.9	100	15548654	0.0869	75199	0.0004	13937853	0.0779	5438126	0.0304	6422113	0.0359	4436501	0.0247	4246867	0.0238	0.084758816	50105313	0.280142483	178856532	128751219	0.719857517	YES	6																																					
6	Diptera	Drosophilidae	Drosophila	410	7	GCA_008042695.1	short	short	163991206	8.21	84243	4.93	97.7	1.7	99.4	0.994	0.1	0.5	100	7147083	0.0435	3274	0	8810829	0.0537	3585045	0.0219	6042777	0.0368	4007762	0.0245	3621495	0.0221	0.109021197	33218265	0.202561258	163991206	130772941	0.797438742	YES	7																																					
7	Diptera	Drosophilidae	Drosophila	400	7	GCA_008042755.1	short	short	156593892	8.19	209731	5.32	98.1	1.2	99.3	0.993	0.1	0.6	100	6855653	0.0438	1530	0	9949579	0.0635	3238151	0.0207	6134985	0.0392	2993276	0.0191	3715060	0.0237	0.112960155	32888234	0.210022457	156593892	123705658	0.789977543	YES	7																																					
8	Diptera	Drosophilidae	Drosophila	415	6	GCA_008042485.1	short	short	167807061	8.22	131064	5.12	98	1	99	0.99	0.3	0.7	100	7917535	0.0472	128220	0.0008	22850287	0.1362	4155570	0.0248	5632457	0.0336	3103329	0.0184	4426440	0.0264	0.091808497	48213838	0.287317099	167807061	119593223	0.712682901	YES	6																																					
9	Diptera	Drosophilidae	Drosophila	422	6	GCA_008042515.1	short	short	167897087	8.23	101914	5.01	98.2	1	99.2	0.992	0.3	0.5	100	7058638	0.042	2144	0	9946907	0.0593	5686249	0.0339	7134467	0.0424	6485621	0.0386	5988390	0.0356	0.141561418	42302416	0.251954437	167897087	125594671	0.748045563	YES	6																																					
10	Diptera	Drosophilidae	Drosophila	453	12	GCA_002093755.1	long	pacbio	198035861	8.3	942627	5.97	97.2	2.1	99.3	0.993	0.4	0.3	100	8916695	0.045	62390	0.0003	11340909	0.0573	4990779	0.0252	7166410	0.0362	31577951	0.1594	4387540	0.0221	0.064105327	68442674	0.345607476	198035861	129593187	0.654392524	YES	12																																					
